ClassesBR,Classes,ID,HexCode
1. Floresta, 1. Forest,1,#32a65e
1.1 Formação, Florestal 1.1. Forest Formation,3,#1f8d49
1.2. Formação Savânica, 1.2. Savanna Formation,4,#7dc975
1.3. Mangue, 1.3. Mangrove,5,#04381d
1.4. Floresta Alagável (beta), 1.4 Floodable Forest (beta),6,#026975
1.5. Restinga Arbórea, 1.5. Wooded Sandbank Vegetation,49,#02d659
2. Formação Natural não Florestal, 2. Non Forest Natural Formation,10,#ad975a
2.1. Campo Alagado e Área Pantanosa, 2.1. Wetland,11,#519799
2.2. Formação Campestre, 2.2. Grassland,12,#d6bc74
2.3. Apicum, 2.3. Hypersaline Tidal Flat,32,#fc8114
2.4. Afloramento Rochoso, 2.4. Rocky Outcrop,29,#ffaa5f
2.5. Restinga Herbácea, 2.5. Herbaceous Sandbank Vegetation,50,#ad5100
2.6. Outras Formações não Florestais, 2.6. Other non Forest Formations,13,#d89f5c
3. Agropecuária, 3. Farming,14,#FFFFB2
3.1. Pastagem, 3.1. Pasture,15,#edde8e
3.2. Agricultura, 3.2. Agriculture,18,#E974ED
3.2.1. Lavoura Temporária, 3.2.1. Temporary Crop,19,#C27BA0
3.2.1.1. Soja, 3.2.1.1. Soybean,39,#f5b3c8
3.2.1.2. Cana, 3.2.1.2. Sugar cane,20,#db7093
3.2.1.3. Arroz, 3.2.1.3. Rice,40,#c71585
3.2.1.4. Algodão (beta), 3.2.1.4. Cotton (beta),62,#ff69b4
3.2.1.5. Outras Lavouras Temporárias, 3.2.1.5. Other Temporary Crops,41,#f54ca9
3.2.2. Lavoura Perene, 3.2.2. Perennial Crop,36,#d082de
3.2.2.1. Café, 3.2.2.1. Coffee,46,#d68fe2
3.2.2.2. Citrus, 3.2.2.2. Citrus,47,#9932cc
3.2.2.3. Dendê (beta), 3.2.2.3. Palm Oil (beta),35,#9065d0
3.2.2.4. Outras Lavouras Perenes, 3.2.2.4. Other Perennial Crops,48,#e6ccff
3.3. Silvicultura, 3.3. Forest Plantation,9,#7a5900
3.4. Mosaico de Usos, 3.4. Mosaic of Uses,21,#ffefc3
4. Área não Vegetada, 4. Non vegetated area,22,#d4271e
4.1. Praia Duna e Areal, 4.1. Beach Dune and Sand Spot,23,#ffa07a
4.2. Área Urbanizada, 4.2. Urban Area,24,#d4271e
4.3. Mineração, 4.3. Mining,30,#9c0027
4.4. Outras Áreas não Vegetadas, 4.4. Other non Vegetated Areas,25,#db4d4f
5. Corpo D'água, 5. Water,26,#0000FF
5.1 Rio Lago e Oceano, 5.1. River Lake and Ocean,33,#2532e4
5.2 Aquicultura ,5.2. Aquaculture,31,#091077
6. Não observado, 6. Not Observed,27,#ffffff
