,albedo
2002,0.1305256920556227
2003,0.13017060731848076
2004,0.13017203534642854
2005,0.13031757374604538
2006,0.13030148359636465
2007,0.12981967193384963
2008,0.12924256982902685
2009,0.12971322424709794
2010,0.12936897079149878
2011,0.12913685540358225
2012,0.12938422212998069
2013,0.1292935814708471
2014,0.12992121589680508
2015,0.12998179905116555
2016,0.12921907131870586
2017,0.12929192992548144
2018,0.12965064619978264
2019,0.12973193203409508
2020,0.12971751640240348
2021,0.129717793315649
2022,0.1296201075116793
