,albedo
2002,0.13722172006964684
2003,0.13699054469664887
2004,0.13684189816315964
2005,0.13828608393669126
2006,0.13739063218235967
2007,0.13805287703871724
2008,0.13685923442244527
2009,0.13632946461439133
2010,0.13721409440040586
2011,0.1362115181982517
2012,0.13664208849271137
2013,0.13571242863933242
2014,0.13621092960238454
2015,0.13722480709354082
2016,0.1369932082792123
2017,0.13763281454642615
2018,0.13660358265042302
2019,0.13703658183415732
2020,0.1373205445706844
2021,0.13695405423641202
2022,0.1373427125314871
