Classes,area_km2_1985,area_km2_1986,area_km2_1987,area_km2_1988,area_km2_1989,area_km2_1990,area_km2_1991,area_km2_1992,area_km2_1993,area_km2_1994,area_km2_1995,area_km2_1996,area_km2_1997,area_km2_1998,area_km2_1999,area_km2_2000,area_km2_2001,area_km2_2002,area_km2_2003,area_km2_2004,area_km2_2005,area_km2_2006,area_km2_2007,area_km2_2008,area_km2_2009,area_km2_2010,area_km2_2011,area_km2_2012,area_km2_2013,area_km2_2014,area_km2_2015,area_km2_2016,area_km2_2017,area_km2_2018,area_km2_2019,area_km2_2020,area_km2_2021,area_km2_2022
 1. Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Florestal 1.1. Forest Formation,42327.07056,42325.592039999996,42317.706600000005,42313.763880000006,42267.92976,42310.806840000005,42307.35696,42298.48584,42297.500159999996,42288.62904,42297.992999999995,42295.5288,42288.62904,42291.09324,42287.64336,42301.935719999994,42302.42856000001,42296.51448,42291.58608,42288.62904,42292.07892,42289.12188,42280.7436,42283.207800000004,42278.27939999999,42276.30804,42274.82952000001,42266.451239999995,42264.97272,42258.07296,42247.23048,42243.780600000006,42238.852199999994,42232.44528,42222.588480000006,42215.19587999999,42206.817599999995,42182.1756
 1.2. Savanna Formation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 1.3. Mangrove,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 1.4 Floodable Forest (beta),5334.007320000001,5326.61472,5322.17916,5311.82952,5242.83192,5336.47152,5331.54312,5326.61472,5328.09324,5321.68632,5352.73524,5356.67796,5356.18512,5368.506120000001,5375.40588,5412.368879999999,5416.80444,5413.8474,5413.8474,5415.81876,5423.7042,5425.67556,5421.24,5428.13976,5426.1684,5432.08248,5433.06816,5431.58964,5438.4894,5438.4894,5429.12544,5428.13976,5434.5466799999995,5437.01088,5424.68988,5420.74716,5382.79848,5212.27584
 1.5. Wooded Sandbank Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 2. Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 2.1. Wetland,67.51908,54.212399999999995,48.79116,63.08352,163.13004,40.41288,37.948679999999996,68.9976,58.64795999999999,107.43912,56.6766,44.848440000000004,62.59068,40.41288,40.41288,48.79116,52.241040000000005,51.7482,48.298320000000004,43.36992,52.241040000000005,51.25536,50.26968,51.7482,58.64795999999999,53.71956,54.212399999999995,63.57636,47.31264,49.284000000000006,57.66228,57.66228,59.63363999999999,59.63363999999999,81.3186,67.51908,90.68256,198.12168000000003
 2.2. Grassland,66.04056,63.08352,63.08352,53.71956,44.355599999999995,63.08352,64.0692,68.50476,61.11216,48.79116,68.9976,63.08352,68.01192,72.94031999999999,65.05488,78.8544,74.91167999999999,71.95464,80.82576,84.27564000000001,92.16108,97.58232,97.08948000000001,104.48208000000001,83.28996000000001,105.46776,101.03219999999999,108.91763999999999,110.39616,110.39616,110.39616,119.26727999999999,119.26727999999999,126.65988000000002,118.77444,133.55964000000003,134.05248,129.61692000000002
 2.3. Hypersaline Tidal Flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
