Classes,area_km2_1985,area_km2_1986,area_km2_1987,area_km2_1988,area_km2_1989,area_km2_1990,area_km2_1991,area_km2_1992,area_km2_1993,area_km2_1994,area_km2_1995,area_km2_1996,area_km2_1997,area_km2_1998,area_km2_1999,area_km2_2000,area_km2_2001,area_km2_2002,area_km2_2003,area_km2_2004,area_km2_2005,area_km2_2006,area_km2_2007,area_km2_2008,area_km2_2009,area_km2_2010,area_km2_2011,area_km2_2012,area_km2_2013,area_km2_2014,area_km2_2015,area_km2_2016,area_km2_2017,area_km2_2018,area_km2_2019,area_km2_2020,area_km2_2021,area_km2_2022
 1. Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Florestal 1.1. Forest Formation,45331.91604,45189.48528,44983.47816,44873.57484,44659.68228,44603.00568,44542.879199999996,44414.24796,44156.985479999996,43888.88052,43330.4928,42746.4774,42323.62068,41987.5038,41708.063519999996,41472.978839999996,41180.724720000006,40716.46944,40042.26432,39402.558000000005,38737.71684,38064.4974,37497.7314,37245.39732,37087.19568,36943.77924,36495.78768,36065.53836,35718.086160000006,35280.93708,34708.749840000004,34086.78576,33416.52336,32875.38504,32282.49852,31820.2146,31161.287519999998,30639.862800000003
 1.2. Savanna Formation,167.56560000000002,162.6372,162.14436,158.20164,155.24460000000002,153.27324000000002,147.35916,145.3878,142.9236,145.88063999999997,145.88063999999997,144.40212,143.90928,142.43076,143.90928,148.83768,148.34484,145.3878,143.41644,143.90928,142.43076,140.95224,140.95224,140.95224,139.47372,137.50236,135.03816,128.1384,125.6742,112.86036,110.39616,98.56800000000001,91.66824000000001,85.26132,80.82576,79.34724,74.91167999999999,68.9976
 1.3. Mangrove,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 1.4 Floodable Forest (beta),336.11688000000004,333.15984000000003,334.14552000000003,337.10256000000004,338.08824,339.56676,340.0596,338.58108,335.13120000000004,335.13120000000004,337.10256000000004,331.18848,325.76724,320.83884,316.40328,322.8102,326.26008,330.69563999999997,333.15984000000003,337.5954,340.55244,340.0596,339.56676,339.07392,339.56676,340.0596,339.07392,339.07392,338.58108,335.13120000000004,337.10256000000004,338.58108,339.07392,339.07392,339.07392,336.60972000000004,338.58108,336.11688000000004
 1.5. Wooded Sandbank Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 2. Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 2.1. Wetland,167.56560000000002,165.59424,169.04412,175.94387999999998,282.39732,249.37704000000002,206.00712,193.68612000000002,203.05007999999998,195.16464,182.84364000000002,227.19924000000003,318.86748,227.69208000000003,340.55244,388.35792000000004,320.83884,309.01068,289.78992,299.15388,299.15388,277.96175999999997,280.42596,298.1682,306.54648000000003,269.58348,333.15984000000003,299.15388,267.11928000000006,424.33524,553.95216,395.25768000000005,303.0966,334.14552000000003,338.58108,353.36627999999996,364.20876,180.87228
 2.2. Grassland,1406.0725200000002,1393.25868,1389.8088,1360.2384,1170.495,1122.6895200000001,1123.1823599999998,1113.32556,1093.61196,1084.74084,1060.0988399999999,1047.77784,1061.08452,1044.8208,1056.64896,1056.1561199999999,1061.57736,1075.86972,1035.4568399999998,1041.86376,1030.52844,1020.67164,1015.7432399999999,989.1298800000001,1014.7575600000001,1019.6859599999999,1014.2647199999999,985.18716,997.0153200000001,955.1239199999999,971.3876400000001,1001.45088,984.6943200000001,980.7516,992.08692,1032.00696,1028.55708,978.78024
 2.3. Hypersaline Tidal Flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 2.4. Rocky Outcrop,24.149160000000002,24.149160000000002,24.149160000000002,24.149160000000002,24.149160000000002,24.149160000000002,24.149160000000002,24.149160000000002,24.149160000000002,24.149160000000002,24.149160000000002,24.149160000000002,24.149160000000002,24.149160000000002,24.149160000000002,24.149160000000002,24.149160000000002,24.149160000000002,24.149160000000002,24.149160000000002,24.149160000000002,24.149160000000002,24.149160000000002,24.149160000000002,24.149160000000002,24.149160000000002,24.149160000000002,24.149160000000002,24.149160000000002,24.149160000000002,24.149160000000002,23.65632,23.65632,23.65632,23.65632,23.65632,23.65632,23.65632
 2.5. Herbaceous Sandbank Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 2.6. Other non Forest Formations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 3. Farming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 3.1. Pasture,1094.5976400000002,1247.37804,1453.38516,1561.80996,1587.4376399999999,1613.0653200000002,1658.8994400000001,1785.55932,2067.95664,2352.81816,2921.06268,3544.9981199999997,3988.5541200000002,4331.57076,4618.40364,4876.6518,5166.93456,5628.232800000001,6292.08828,6918.98076,7577.415,8243.24184,8810.99352,9059.384880000001,9211.179600000001,9337.83948,9744.92532,10049.500439999998,10342.2474,10653.22944,11118.4704,11766.555,12374.22672,12830.10372,13344.62868,13777.83504,14374.66428,15074.98992
 3.2. Agriculture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 3.2.1. Temporary Crop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 3.2.1.1. Soybean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98568,0.98568,0.0,0.0,0.0,0.0,5.42124,6.89976,10.34964,18.235079999999996,33.02028,69.98328,102.01787999999999,122.22432,183.82932,243.46295999999998,409.55004,410.53572
 3.2.1.2. Sugar cane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 3.2.1.3. Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 3.2.1.4. Cotton (beta),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 3.2.1.5. Other Temporary Crops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49284,1.97136,2.95704,2.95704,4.9284,7.88544,9.8568,9.363959999999999,8.87112,15.27804,20.20644,25.13484,27.106199999999998,38.93436,80.82576,146.86632,141.93792,174.46536,210.44268,215.37108,193.68612000000002,35.48448,47.805479999999996
 3.2.2. Perennial Crop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
