Year,Forest,Floodable Forest,aet,ppt,tmax,tmin,mean temp,albedo
2002,85.822,10.985,86.344475,312.5573278356482,30.863302,21.89744,26.380371,0.1305256920556227
2003,85.812,10.985,83.24945,237.5829029224537,30.992266,22.025991,26.50913,0.1301706073184807
2004,85.806,10.989,85.59952,246.5695095486111,30.934946,21.966719,26.45083,0.1301720353464285
2005,85.813,11.005,87.61021,270.96577329282405,31.033525,22.06396,26.548742,0.1303175737460453
2006,85.807,11.009,86.310036,300.4485170717593,30.805252,21.837149,26.321198,0.1303014835963646
2007,85.79,11.0,83.09994,262.96800130208334,30.816996,21.848536,26.332766,0.1298196719338496
2008,85.795,11.014,85.756065,302.46420717592594,30.687975,21.719831,26.203903,0.1292425698290268
2009,85.785,11.01,87.10676,296.5662000868056,30.856462,21.89039,26.373428,0.1297132242470979
2010,85.781,11.022,90.44601,257.4538556134259,31.109238,22.1416,26.625418,0.1293689707914987
2011,85.778,11.024,88.166985,266.93746383101853,30.845238,21.882248,26.363745,0.1291368554035822
2012,85.761,11.021,89.8411,267.68393373842594,30.653559,21.691229,26.172394,0.1293842221299806
2013,85.758,11.035,85.38143,277.46243851273147,30.752283,21.79091,26.271599,0.1292935814708471
2014,85.744,11.035,87.67336,293.1095232928241,30.773903,21.812468,26.293184,0.129921215896805
2015,85.722,11.016,86.2685,210.9053096064815,31.156118,22.192612,26.674364,0.1299817990511655
2016,85.715,11.014,89.05002,253.81197916666667,30.857038,22.036934,26.446985,0.1292190713187058
2017,85.705,11.027,88.942024,253.05537109375004,30.700354,21.742579,26.221466,0.1292919299254814
2018,85.692,11.032,81.77513,280.7070023148148,30.36557,21.623518,25.994545,0.1296506461997826
2019,85.672,11.007,86.967476,333.6910047743056,31.05097,22.08571,26.568342,0.129731932034095
2020,85.657,10.999,94.92053,259.7602973090277,31.08711,22.12368,26.605394,0.1297175164024034
2021,85.64,10.922,90.25812,294.72431640625,30.759565,21.79612,26.277842,0.129717793315649
2022,85.59,10.576,93.3536,268.0376989293982,30.884367,21.932104,26.408234,0.1296201075116793
