Year,Forest,Pasture,aet,ppt,tmax,tmin,mean temp,albedo
2002,69.649,26.339,93.12771,150.05884331597224,33.142147,19.559645,26.350897,0.1519863518575827
2003,66.868,28.679,87.62919,189.43152850115743,32.642433,19.059935,25.851183,0.1505626440048217
2004,63.671,31.196,82.327156,203.692552806713,32.50824,18.925741,25.71699,0.1507852325836817
2005,62.001,31.974,83.94716,163.49287471064818,32.762875,19.180376,25.971626,0.1514839281638463
2006,61.09,32.219,79.71794,165.06714771412038,32.77477,19.192268,25.98352,0.1502670782307783
2007,60.874,31.995,78.88976,153.20669126157406,32.824257,19.241755,26.033005,0.1526006224254766
2008,60.582,31.857,80.80963,162.42093098958335,32.325222,18.74272,25.533972,0.1504552389184633
2009,60.485,31.826,83.61628,150.7894892939815,32.43407,18.85157,25.642822,0.1494051255285739
2010,60.499,31.692,82.808846,160.59626736111113,33.060734,19.47823,26.269484,0.1518396101891994
2011,60.116,31.923,82.46519,163.8535517939815,32.702045,19.119543,25.910795,0.1502524800598621
2012,60.167,31.493,87.94102,153.20039424189815,32.62923,19.046728,25.83798,0.1506456558903058
2013,59.945,30.336,79.58509,150.28398075810185,32.93509,19.352592,26.143839,0.1493422389030456
2014,59.556,29.641,83.80581,143.54096498842594,32.81397,19.23147,26.02272,0.1504819070299466
2015,59.38,28.701,89.05728,160.58265697337964,32.947796,19.365295,26.156546,0.1512406729161739
2016,59.236,28.304,91.85801,174.95112847222222,33.478745,19.13646,26.307602,0.1504836765428384
2017,59.134,27.889,89.649284,180.8609447337963,33.450718,19.057783,26.254251,0.1514950742324193
2018,59.0,27.927,81.32645,184.12065972222223,32.40206,18.5389,25.470482,0.1502929739654064
2019,58.518,28.108,79.996666,152.66935040509262,33.371708,19.789207,26.58046,0.1508481142421563
2020,58.29,28.105,77.755974,139.50481047453704,33.2356,19.653105,26.444353,0.1515979332228501
2021,57.85,28.553,79.74263,165.78135127314815,32.88513,19.302485,26.09381,0.1505087067683537
2022,56.922,30.107,78.56446,127.371361400463,33.20383,19.559122,26.381477,0.1514250176648298
