Year,Forest,Pasture,tmin_mean_diff,tmax_mean_diff,mean temp_mean_diff,ppt_mean_diff,aet_mean_diff
2000,-2.8372666666666646,2.9921333333333333,-0.06053734,-0.06053543,-0.06053543,10.724454571759251,-4.491722
2001,-3.1512666666666718,3.308133333333333,0.16558456,0.16558838,0.16558456,-10.010039785879629,-0.82505035
2002,-3.3712666666666706,3.4871333333333334,0.34188843,0.34189224,0.34189034,-7.5583904803240785,1.1899796
2003,-4.127266666666671,4.252133333333333,0.31310463,0.31311035,0.31310463,-22.974767795138888,4.206093
2004,-5.284266666666667,5.433133333333334,0.33218575,0.33218765,0.33218765,-4.372988281250031,-5.128189
2005,-6.369266666666661,6.526133333333334,0.32753944,0.32754517,0.32754135,29.29815972222221,-0.072151184
2006,-7.36226666666667,7.508133333333333,-0.062301636,-0.06229973,-0.062301636,20.402456597222223,-1.5826645
2007,-8.015266666666662,8.157133333333334,-0.111371994,-0.111364365,-0.11136627,-1.1631611689814747,-1.8888016
2008,-8.811266666666668,8.946133333333334,-0.1578846,-0.15788269,-0.15788269,12.329261429398144,-3.0073776
2009,-9.60626666666667,9.784133333333333,0.3461399,0.34614563,0.34614182,11.0761725983796,-3.5311813
2010,-10.160266666666672,10.337133333333334,0.675539,0.675539,0.675539,-3.477375578703686,6.191765
2011,-10.554266666666663,10.708133333333333,-0.06928635,-0.06928253,-0.06928253,11.460232928240742,0.85334015
2012,-10.641266666666667,10.762133333333333,-0.00094795227,-0.0009460449,-0.0009460449,0.9640487557870472,3.0960464
2013,-10.799266666666668,10.905133333333334,0.16928864,0.16929245,0.16929054,30.18575014467595,3.1278763
2014,-11.215266666666665,11.334133333333334,0.042409897,0.04241371,0.042411804,12.313278356481504,-0.5284729
2015,-11.782266666666672,11.866133333333334,0.5631752,0.5631809,0.563179,10.137732204861123,-0.70664215
2016,-12.83926666666666,12.660133333333333,1.2156181,1.4016476,1.3086338,22.831239872685188,7.73098
2017,-13.799266666666668,13.629133333333334,1.0328293,1.103365,1.0680962,-23.25500506365742,3.0694199
2018,-14.706266666666664,14.527133333333333,0.85440063,0.7879963,0.8211975,19.43281322337964,5.744232
2019,-16.21926666666667,16.00613333333333,1.1136875,1.1136913,1.1136894,10.376067708333352,-3.2104797
2020,-17.617266666666666,17.39013333333333,0.6064453,0.60643005,0.6064377,-10.4948705150463,-2.6756363
2021,-18.986266666666666,18.719133333333332,0.41081238,0.41094208,0.41087532,8.191891637731487,3.7242737
2022,-20.33326666666666,20.104133333333337,0.2841301,0.29024124,0.28718567,9.617387152777752,-0.1631546
